"TIME","GEO","CITIZEN","UNIT","Value"
"2007","Cyprus","Total","Person","6,780"
"2007","Latvia","Total","Person","35"
"2007","Lithuania","Total","Person","125"
"2007","Luxembourg","Total","Person","425"
"2007","Hungary","Total","Person","3,420"
"2007","Malta","Total","Person","1,380"
"2007","Netherlands","Total","Person","7,100"
"2007","Austria","Total","Person","11,920"
"2007","Poland","Total","Person","7,205"
"2007","Portugal","Total","Person","225"
"2007","Romania","Total","Person","660"
"2007","Slovenia","Total","Person","370"
"2007","Slovakia","Total","Person","2,640"
"2007","Finland","Total","Person","1,405"
"2007","Sweden","Total","Person","36,205"
"2007","United Kingdom","Total","Person","27,905"
"2007","Norway","Total","Person",":"
"2007","Switzerland","Total","Person","9,525"
