"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value"
"2009Q4","Italy","Total","Total","Total","Geneva Convention status","Person","745"
"2009Q4","Cyprus","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q4","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q4","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q4","Luxembourg","Total","Total","Total","Geneva Convention status","Person","40"
"2009Q4","Hungary","Total","Total","Total","Geneva Convention status","Person","35"
"2009Q4","Malta","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q4","Netherlands","Total","Total","Total","Geneva Convention status","Person","160"
"2009Q4","Austria","Total","Total","Total","Geneva Convention status","Person","490"
"2009Q4","Poland","Total","Total","Total","Geneva Convention status","Person","15"
"2009Q4","Portugal","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q4","Romania","Total","Total","Total","Geneva Convention status","Person","10"
"2009Q4","Slovenia","Total","Total","Total","Geneva Convention status","Person","15"
"2009Q4","Slovakia","Total","Total","Total","Geneva Convention status","Person","5"
"2009Q4","Finland","Total","Total","Total","Geneva Convention status","Person","30"
"2009Q4","Sweden","Total","Total","Total","Geneva Convention status","Person","485"
"2009Q4","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,110"
"2009Q4","Norway","Total","Total","Total","Geneva Convention status","Person","420"
"2010Q1","Belgium","Total","Total","Total","Geneva Convention status","Person","660"
"2010Q1","Bulgaria","Total","Total","Total","Geneva Convention status","Person","5"
"2010Q1","Czech Republic","Total","Total","Total","Geneva Convention status","Person","15"
"2010Q1","Denmark","Total","Total","Total","Geneva Convention status","Person","110"
"2010Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","1,670"
"2010Q1","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q1","Ireland","Total","Total","Total","Geneva Convention status","Person","15"
"2010Q1","Greece","Total","Total","Total","Geneva Convention status","Person","15"
"2010Q1","Spain","Total","Total","Total","Geneva Convention status","Person","60"
"2010Q1","France","Total","Total","Total","Geneva Convention status","Person","1,160"
"2010Q1","Italy","Total","Total","Total","Geneva Convention status","Person","595"
"2010Q1","Cyprus","Total","Total","Total","Geneva Convention status","Person","15"
"2010Q1","Latvia","Total","Total","Total","Geneva Convention status","Person","5"
"2010Q1","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q1","Luxembourg","Total","Total","Total","Geneva Convention status","Person","20"
"2010Q1","Hungary","Total","Total","Total","Geneva Convention status","Person","25"
"2010Q1","Malta","Total","Total","Total","Geneva Convention status","Person","5"
"2010Q1","Netherlands","Total","Total","Total","Geneva Convention status","Person","195"
"2010Q1","Austria","Total","Total","Total","Geneva Convention status","Person","515"
"2010Q1","Poland","Total","Total","Total","Geneva Convention status","Person","25"
"2010Q1","Portugal","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q1","Romania","Total","Total","Total","Geneva Convention status","Person","15"
"2010Q1","Slovenia","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q1","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q1","Finland","Total","Total","Total","Geneva Convention status","Person","45"
"2010Q1","Sweden","Total","Total","Total","Geneva Convention status","Person","405"
"2010Q1","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,050"
"2010Q1","Norway","Total","Total","Total","Geneva Convention status","Person","515"
"2010Q2","Belgium","Total","Total","Total","Geneva Convention status","Person","505"
"2010Q2","Bulgaria","Total","Total","Total","Geneva Convention status","Person","5"
"2010Q2","Czech Republic","Total","Total","Total","Geneva Convention status","Person","25"
"2010Q2","Denmark","Total","Total","Total","Geneva Convention status","Person","195"
"2010Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","2,030"
"2010Q2","Estonia","Total","Total","Total","Geneva Convention status","Person","5"
"2010Q2","Ireland","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q2","Greece","Total","Total","Total","Geneva Convention status","Person","5"
"2010Q2","Spain","Total","Total","Total","Geneva Convention status","Person","60"
"2010Q2","France","Total","Total","Total","Geneva Convention status","Person","1,010"
"2010Q2","Italy","Total","Total","Total","Geneva Convention status","Person","420"
"2010Q2","Cyprus","Total","Total","Total","Geneva Convention status","Person","5"
"2010Q2","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q2","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q2","Luxembourg","Total","Total","Total","Geneva Convention status","Person","10"
"2010Q2","Hungary","Total","Total","Total","Geneva Convention status","Person","25"
"2010Q2","Malta","Total","Total","Total","Geneva Convention status","Person","15"
"2010Q2","Netherlands","Total","Total","Total","Geneva Convention status","Person","175"
"2010Q2","Austria","Total","Total","Total","Geneva Convention status","Person","495"
"2010Q2","Poland","Total","Total","Total","Geneva Convention status","Person","25"
"2010Q2","Portugal","Total","Total","Total","Geneva Convention status","Person","5"
"2010Q2","Romania","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q2","Slovenia","Total","Total","Total","Geneva Convention status","Person","10"
"2010Q2","Slovakia","Total","Total","Total","Geneva Convention status","Person","5"
"2010Q2","Finland","Total","Total","Total","Geneva Convention status","Person","45"
"2010Q2","Sweden","Total","Total","Total","Geneva Convention status","Person","415"
"2010Q2","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,045"
"2010Q2","Norway","Total","Total","Total","Geneva Convention status","Person","725"
"2010Q3","Belgium","Total","Total","Total","Geneva Convention status","Person","715"
"2010Q3","Bulgaria","Total","Total","Total","Geneva Convention status","Person","10"
"2010Q3","Czech Republic","Total","Total","Total","Geneva Convention status","Person","15"
"2010Q3","Denmark","Total","Total","Total","Geneva Convention status","Person","180"
"2010Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","2,395"
"2010Q3","Estonia","Total","Total","Total","Geneva Convention status","Person","5"
"2010Q3","Ireland","Total","Total","Total","Geneva Convention status","Person","5"
"2010Q3","Greece","Total","Total","Total","Geneva Convention status","Person","15"
"2010Q3","Spain","Total","Total","Total","Geneva Convention status","Person","65"
"2010Q3","France","Total","Total","Total","Geneva Convention status","Person","850"
"2010Q3","Italy","Total","Total","Total","Geneva Convention status","Person","290"
"2010Q3","Cyprus","Total","Total","Total","Geneva Convention status","Person","5"
