"TIME","GEO","DECISION","CITIZEN","UNIT","Value"
"2002M12","Estonia","Rejected","Total","Person","0"
"2002M12","Ireland","Rejected","Total","Person",":"
"2002M12","Greece","Rejected","Total","Person","1,160"
"2002M12","Spain","Rejected","Total","Person","345"
"2002M12","France","Rejected","Total","Person","3,340"
"2002M12","Italy","Rejected","Total","Person",":"
"2002M12","Cyprus","Rejected","Total","Person",":"
"2002M12","Latvia","Rejected","Total","Person","0"
"2002M12","Lithuania","Rejected","Total","Person","10"
"2002M12","Luxembourg","Rejected","Total","Person",":"
"2002M12","Hungary","Rejected","Total","Person","185"
"2002M12","Malta","Rejected","Total","Person","15"
"2002M12","Netherlands","Rejected","Total","Person","1,335"
"2002M12","Austria","Rejected","Total","Person","435"
"2002M12","Poland","Rejected","Total","Person","480"
"2002M12","Portugal","Rejected","Total","Person","15"
"2002M12","Romania","Rejected","Total","Person",":"
"2002M12","Slovenia","Rejected","Total","Person","0"
"2002M12","Slovakia","Rejected","Total","Person",":"
"2002M12","Finland","Rejected","Total","Person","95"
"2002M12","Sweden","Rejected","Total","Person","1,565"
"2002M12","United Kingdom","Rejected","Total","Person","3,385"
"2002M12","Norway","Rejected","Total","Person",":"
"2003M01","Belgium","Rejected","Total","Person",":"
"2003M01","Bulgaria","Rejected","Total","Person","10"
"2003M01","Czech Republic","Rejected","Total","Person","530"
"2003M01","Denmark","Rejected","Total","Person","285"
"2003M01","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","5,565"
"2003M01","Estonia","Rejected","Total","Person","5"
"2003M01","Ireland","Rejected","Total","Person","525"
"2003M01","Greece","Rejected","Total","Person","695"
"2003M01","Spain","Rejected","Total","Person","825"
"2003M01","France","Rejected","Total","Person","3,745"
"2003M01","Italy","Rejected","Total","Person",":"
"2003M01","Cyprus","Rejected","Total","Person",":"
"2003M01","Latvia","Rejected","Total","Person","0"
"2003M01","Lithuania","Rejected","Total","Person","5"
"2003M01","Luxembourg","Rejected","Total","Person",":"
"2003M01","Hungary","Rejected","Total","Person","245"
"2003M01","Malta","Rejected","Total","Person","5"
"2003M01","Netherlands","Rejected","Total","Person","2,250"
"2003M01","Austria","Rejected","Total","Person","290"
"2003M01","Poland","Rejected","Total","Person","325"
"2003M01","Portugal","Rejected","Total","Person","15"
"2003M01","Romania","Rejected","Total","Person",":"
"2003M01","Slovenia","Rejected","Total","Person","10"
"2003M01","Slovakia","Rejected","Total","Person","365"
"2003M01","Finland","Rejected","Total","Person","250"
"2003M01","Sweden","Rejected","Total","Person","1,585"
"2003M01","United Kingdom","Rejected","Total","Person","6,010"
"2003M01","Norway","Rejected","Total","Person","785"
"2003M02","Belgium","Rejected","Total","Person",":"
"2003M02","Bulgaria","Rejected","Total","Person","10"
"2003M02","Czech Republic","Rejected","Total","Person","505"
"2003M02","Denmark","Rejected","Total","Person","275"
"2003M02","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","6,245"
"2003M02","Estonia","Rejected","Total","Person","5"
"2003M02","Ireland","Rejected","Total","Person","540"
"2003M02","Greece","Rejected","Total","Person","245"
"2003M02","Spain","Rejected","Total","Person","505"
"2003M02","France","Rejected","Total","Person","3,155"
"2003M02","Italy","Rejected","Total","Person",":"
"2003M02","Cyprus","Rejected","Total","Person",":"
"2003M02","Latvia","Rejected","Total","Person","0"
"2003M02","Lithuania","Rejected","Total","Person","5"
"2003M02","Luxembourg","Rejected","Total","Person",":"
"2003M02","Hungary","Rejected","Total","Person","135"
"2003M02","Malta","Rejected","Total","Person","10"
"2003M02","Netherlands","Rejected","Total","Person","1,585"
"2003M02","Austria","Rejected","Total","Person","325"
"2003M02","Poland","Rejected","Total","Person","370"
"2003M02","Portugal","Rejected","Total","Person","10"
"2003M02","Romania","Rejected","Total","Person",":"
"2003M02","Slovenia","Rejected","Total","Person","0"
"2003M02","Slovakia","Rejected","Total","Person","5"
"2003M02","Finland","Rejected","Total","Person","240"
"2003M02","Sweden","Rejected","Total","Person","1,980"
"2003M02","United Kingdom","Rejected","Total","Person","6,260"
"2003M02","Norway","Rejected","Total","Person","780"
"2003M03","Belgium","Rejected","Total","Person",":"
