"TIME","GEO","DECISION","CITIZEN","UNIT","Value"
"2002M10","Luxembourg","Geneva Convention status","Total","Person",":"
"2002M10","Hungary","Geneva Convention status","Total","Person","5"
"2002M10","Malta","Geneva Convention status","Total","Person","0"
"2002M10","Netherlands","Geneva Convention status","Total","Person","15"
"2002M10","Austria","Geneva Convention status","Total","Person","100"
"2002M10","Poland","Geneva Convention status","Total","Person","25"
"2002M10","Portugal","Geneva Convention status","Total","Person","0"
"2002M10","Romania","Geneva Convention status","Total","Person",":"
"2002M10","Slovenia","Geneva Convention status","Total","Person","0"
"2002M10","Slovakia","Geneva Convention status","Total","Person",":"
"2002M10","Finland","Geneva Convention status","Total","Person","0"
"2002M10","Sweden","Geneva Convention status","Total","Person","25"
"2002M10","United Kingdom","Geneva Convention status","Total","Person","730"
"2002M10","Norway","Geneva Convention status","Total","Person",":"
"2002M11","Belgium","Geneva Convention status","Total","Person",":"
"2002M11","Bulgaria","Geneva Convention status","Total","Person","0"
"2002M11","Czech Republic","Geneva Convention status","Total","Person","20"
"2002M11","Denmark","Geneva Convention status","Total","Person",":"
"2002M11","Germany (until 1990 former territory of the FRG)","Geneva Convention status","Total","Person","420"
"2002M11","Estonia","Geneva Convention status","Total","Person","0"
"2002M11","Ireland","Geneva Convention status","Total","Person",":"
"2002M11","Greece","Geneva Convention status","Total","Person","0"
"2002M11","Spain","Geneva Convention status","Total","Person","15"
"2002M11","France","Geneva Convention status","Total","Person","405"
"2002M11","Italy","Geneva Convention status","Total","Person",":"
"2002M11","Cyprus","Geneva Convention status","Total","Person",":"
"2002M11","Latvia","Geneva Convention status","Total","Person","0"
"2002M11","Lithuania","Geneva Convention status","Total","Person","0"
"2002M11","Luxembourg","Geneva Convention status","Total","Person",":"
"2002M11","Hungary","Geneva Convention status","Total","Person","10"
"2002M11","Malta","Geneva Convention status","Total","Person","5"
"2002M11","Netherlands","Geneva Convention status","Total","Person","30"
"2002M11","Austria","Geneva Convention status","Total","Person","85"
"2002M11","Poland","Geneva Convention status","Total","Person","20"
"2002M11","Portugal","Geneva Convention status","Total","Person","5"
